A,,"The first letter of the English and of many other alphabets. The capital A of the alphabets of Middle and Western Europe, as also the small letter (a), besides the forms in Italic, black letter, etc., are all descended from the old Latin A, which was borrowed from the Greek Alpha, of the same form; and this was made from the first letter (/) of the Phoenician alphabet, the equivalent of the Hebrew Aleph, and itself from the Egyptian origin. The Aleph was a consonant letter, with a guttural breath sound that was not an element of Greek articulation; and the Greeks took it to represent their vowel Alpha with the a sound, the Phoenician alphabet having no vowel symbols."
A,,"The name of the sixth tone in the model major scale (that in C), or the first tone of the minor scale, which is named after it the scale in A minor. The second string of the violin is tuned to the A in the treble staff. -- A sharp (A/) is the name of a musical tone intermediate between A and B. -- A flat (A/) is the name of a tone intermediate between A and G."
A,,"An adjective, commonly called the indefinite article, and signifying one or any, but less emphatically."
A,,"In each; to or for each; as, ""twenty leagues a day"", ""a hundred pounds a year"", ""a dollar a yard"", etc."
A,prep.,In; on; at; by.
A,prep.,"In process of; in the act of; into; to; -- used with verbal substantives in -ing which begin with a consonant. This is a shortened form of the preposition an (which was used before the vowel sound); as in a hunting, a building, a begging."
A,,Of.
A,,"A barbarous corruption of have, of he, and sometimes of it and of they."
A,,"An expletive, void of sense, to fill up the meter"
A-,,"A, as a prefix to English words, is derived from various sources. (1) It frequently signifies on or in (from an, a forms of AS. on), denoting a state, as in afoot, on foot, abed, amiss, asleep, aground, aloft, away (AS. onweg), and analogically, ablaze, atremble, etc. (2) AS. of off, from, as in adown (AS. ofd/ne off the dun or hill). (3) AS. a- (Goth. us-, ur-, Ger. er-), usually giving an intensive force, and sometimes the sense of away, on, back, as in arise, abide, ago. (4) Old English y- or i- (corrupted from the AS. inseparable particle ge-, cognate with OHG. ga-, gi-, Goth. ga-), which, as a prefix, made no essential addition to the meaning, as in aware. (5) French a (L. ad to), as in abase, achieve. (6) L. a, ab, abs, from, as in avert. (7) Greek insep. prefix / without, or privative, not, as in abyss, atheist; akin to E. un-."
A 1,,A registry mark given by underwriters (as at Lloyd's) to ships in first-class condition. Inferior grades are indicated by A 2 and A 3.
Aam,n.,"A Dutch and German measure of liquids, varying in different cities, being at Amsterdam about 41 wine gallons, at Antwerp 36 1/2, at Hamburg 38 1/4."
Aard-vark,n.,"An edentate mammal, of the genus Orycteropus, somewhat resembling a pig, common in some parts of Southern Africa. It burrows in the ground, and feeds entirely on ants, which it catches with its long, slimy tongue."
Aard-wolf,n.,"A carnivorous quadruped (Proteles Lalandii), of South Africa, resembling the fox and hyena. See Proteles."
Aaronic,a.,Alt. of Aaronical
Aaronical,a.,"Pertaining to Aaron, the first high priest of the Jews."
Aaron's rod,,"A rod with one serpent twined around it, thus differing from the caduceus of Mercury, which has two."
Aaron's rod,,"A plant with a tall flowering stem; esp. the great mullein, or hag-taper, and the golden-rod."
Ab-,,"A prefix in many words of Latin origin. It signifies from, away , separating, or departure, as in abduct, abstract, abscond. See A-(6)."
Ab,n.,"The fifth month of the Jewish year according to the ecclesiastical reckoning, the eleventh by the civil computation, coinciding nearly with August."
Abaca,n.,"The Manila-hemp plant (Musa textilis); also, its fiber. See Manila hemp under Manila."
Abacinate,v. t.,To blind by a red-hot metal plate held before the eyes.
Abacination,n.,The act of abacinating.
Abaciscus,n.,One of the tiles or squares of a tessellated pavement; an abaculus.
Abacist,n.,One who uses an abacus in casting accounts; a calculator.
Aback,adv.,Toward the back or rear; backward.
Aback,adv.,Behind; in the rear.
Aback,adv.,Backward against the mast; -- said of the sails when pressed by the wind.
Aback,n.,An abacus.
Abactinal,a.,Pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal.
Abaction,n.,Stealing cattle on a large scale.
Abactor,n.,One who steals and drives away cattle or beasts by herds or droves.
Abaculi,n. pl.,of Abaculus
Abaculus,n.,"A small tile of glass, marble, or other substance, of various colors, used in making ornamental patterns in mosaic pavements."
Abacuses,n. pl.,of Abacus
Abaci,n. pl.,of Abacus
Abacus,n.,"A table or tray strewn with sand, anciently used for drawing, calculating, etc."
Abacus,n.,"A calculating table or frame; an instrument for performing arithmetical calculations by balls sliding on wires, or counters in grooves, the lowest line representing units, the second line, tens, etc. It is still employed in China."
Abacus,n.,"The uppermost member or division of the capital of a column, immediately under the architrave. See Column."
Abacus,n.,"A tablet, panel, or compartment in ornamented or mosaic work."
Abacus,n.,"A board, tray, or table, divided into perforated compartments, for holding cups, bottles, or the like; a kind of cupboard, buffet, or sideboard."
Abada,n.,The rhinoceros.
Abaddon,n.,"The destroyer, or angel of the bottomless pit; -- the same as Apollyon and Asmodeus."
Abaddon,n.,Hell; the bottomless pit.
Abaft,prep.,"Behind; toward the stern from; as, abaft the wheelhouse."
Abaft,adv.,"Toward the stern; aft; as, to go abaft."
Abaisance,n.,Obeisance.
Abaiser,n.,Ivory black or animal charcoal.
Abaist,p. p.,Abashed; confounded; discomfited.
Abalienate,v. t.,To transfer the title of from one to another; to alienate.
Abalienate,v. t.,To estrange; to withdraw.
Abalienate,v. t.,To cause alienation of (mind).
Abalienation,n.,The act of abalienating; alienation; estrangement.
Abalone,n.,"A univalve mollusk of the genus Haliotis. The shell is lined with mother-of-pearl, and used for ornamental purposes; the sea-ear. Several large species are found on the coast of California, clinging closely to the rocks."
Aband,v. t.,To abandon.
Aband,v. t.,To banish; to expel.
Abandoned,imp. & p. p.,of Abandon
Abandoning,p. pr. & vb. n.,of Abandon
Abandon,v. t.,To cast or drive out; to banish; to expel; to reject.
Abandon,v. t.,"To give up absolutely; to forsake entirely ; to renounce utterly; to relinquish all connection with or concern on; to desert, as a person to whom one owes allegiance or fidelity; to quit; to surrender."
Abandon,v. t.,Reflexively: To give (one's self) up without attempt at self-control; to yield (one's self) unrestrainedly; -- often in a bad sense.
Abandon,v. t.,"To relinquish all claim to; -- used when an insured person gives up to underwriters all claim to the property covered by a policy, which may remain after loss or damage by a peril insured against."
Abandon,v.,Abandonment; relinquishment.
Abandon,n.,A complete giving up to natural impulses; freedom from artificial constraint; careless freedom or ease.
Abandoned,a.,"Forsaken, deserted."
Abandoned,a.,"Self-abandoned, or given up to vice; extremely wicked, or sinning without restraint; irreclaimably wicked ; as, an abandoned villain."
Abandonedly,adv.,Unrestrainedly.
Abandonee,n.,One to whom anything is legally abandoned.
Abandoner,n.,One who abandons.
Abandonment,n.,"The act of abandoning, or the state of being abandoned; total desertion; relinquishment."
Abandonment,n.,The relinquishment by the insured to the underwriters of what may remain of the property insured after a loss or damage by a peril insured against.
Abandonment,n.,"The relinquishment of a right, claim, or privilege, as to mill site, etc."
Abandonment,n.,"The voluntary leaving of a person to whom one is bound by a special relation, as a wife, husband, or child; desertion."
Abandonment,n.,Careless freedom or ease; abandon.
Abandum,n.,Anything forfeited or confiscated.
Abanet,n.,See Abnet.
Abanga,n.,"A West Indian palm; also the fruit of this palm, the seeds of which are used as a remedy for diseases of the chest."
Abannation,n.,Alt. of Abannition
Abannition,n.,Banishment.
Abarticulation,n.,"Articulation, usually that kind of articulation which admits of free motion in the joint; diarthrosis."
Abased,imp. & p. p.,of Abase
Abasing,p. pr. & vb. n.,of Abase
Abase,a.,"To lower or depress; to throw or cast down; as, to abase the eye."
Abase,a.,"To cast down or reduce low or lower, as in rank, office, condition in life, or estimation of worthiness; to depress; to humble; to degrade."
Abased,a.,Lowered; humbled.
Abased,a.,"Borne lower than usual, as a fess; also, having the ends of the wings turned downward towards the point of the shield."
Abasedly,adv.,Abjectly; downcastly.
Abasement,n.,"The act of abasing, humbling, or bringing low; the state of being abased or humbled; humiliation."
Abaser,n.,"He who, or that which, abases."
Abashed,imp. & p. p.,of Abash
Abashing,p. pr. & vb. n.,of Abash
Abash,v. t.,"To destroy the self-possession of; to confuse or confound, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to put to shame; to disconcert; to discomfit."
Abashedly,adv.,In an abashed manner.
Abashment,n.,The state of being abashed; confusion from shame.
Abassi,n.,Alt. of Abassis
Abassis,n.,"A silver coin of Persia, worth about twenty cents."
Abatable,a.,"Capable of being abated; as, an abatable writ or nuisance."
Abated,imp. & p. p.,of Abate
Abating,p. pr. & vb. n.,of Abate
Abate,v. t.,To beat down; to overthrow.
Baccalaureate,n.,"The degree of bachelor of arts. (B.A. or A.B.), the first or lowest academical degree conferred by universities and colleges."
Baccalaureate,n.,A baccalaureate sermon.
Baccalaureate,a.,Pertaining to a bachelor of arts.
Baccara,n.,Alt. of Baccarat
Baccarat,n.,"A French game of cards, played by a banker and punters."
Baccare,interj.,Alt. of Backare
Backare,interj.,"Stand back! give place! -- a cant word of the Elizabethan writers, probably in ridicule of some person who pretended to a knowledge of Latin which he did not possess."
Baccate,a.,"Pulpy throughout, like a berry; -- said of fruits."
Baccated,a.,Having many berries.
Baccated,a.,Set or adorned with pearls.
Bacchanal,a.,Relating to Bacchus or his festival.
Bacchanal,a.,Engaged in drunken revels; drunken and riotous or noisy.
Bacchanal,n.,A devotee of Bacchus; one who indulges in drunken revels; one who is noisy and riotous when intoxicated; a carouser.
Bacchanal,n.,The festival of Bacchus; the bacchanalia.
Bacchanal,n.,Drunken revelry; an orgy.
Bacchanal,n.,A song or dance in honor of Bacchus.
Bacchanalia,n. pl.,A feast or an orgy in honor of Bacchus.
Bacchanalia,n. pl.,Hence: A drunken feast; drunken reveler.
Bacchanalian,a.,Of or pertaining to the festival of Bacchus; relating to or given to reveling and drunkenness.
Bacchanalian,n.,A bacchanal; a drunken reveler.
Bacchanalianism,n.,The practice of bacchanalians; bacchanals; drunken revelry.
Bacchants,n. pl.,of Bacchant
Bacchantes,n. pl.,of Bacchant
Bacchant,n.,A priest of Bacchus.
Bacchant,n.,A bacchanal; a reveler.
Bacchant,a.,Bacchanalian; fond of drunken revelry; wine-loving; reveling; carousing.
Bacchantes,n. pl.,of Bacchante
Bacchante,n.,A priestess of Bacchus.
Bacchante,n.,A female bacchanal.
Bacchantic,a.,Bacchanalian.
Bacchic,a.,Alt. of Bacchical
Bacchical,a.,"Of or relating to Bacchus; hence, jovial, or riotous,with intoxication."
Bacchii,n. pl.,of Bacchius
Bacchius,n.,"A metrical foot composed of a short syllable and two long ones; according to some, two long and a short."
Bacchus,n.,"The god of wine, son of Jupiter and Semele."
Bacciferous,a.,Producing berries.
Bacciform,a.,Having the form of a berry.
Baccivorous,a.,"Eating, or subsisting on, berries; as, baccivorous birds."
Bace,"n., a., & v.",See Base.
Bacharach,n.,Alt. of Backarack
Backarack,n.,A kind of wine made at Bacharach on the Rhine.
Bachelor,n.,A man of any age who has not been married.
Bachelor,n.,An unmarried woman.
Bachelor,n.,"A person who has taken the first or lowest degree in the liberal arts, or in some branch of science, at a college or university; as, a bachelor of arts."
Bachelor,n.,"A knight who had no standard of his own, but fought under the standard of another in the field; often, a young knight."
Bachelor,n.,"In the companies of London tradesmen, one not yet admitted to wear the livery; a junior member."
Bachelor,n.,"A kind of bass, an edible fresh-water fish (Pomoxys annularis) of the southern United States."
Bachelordom,n.,The state of bachelorhood; the whole body of bachelors.
Bachelorhood,n.,The state or condition of being a bachelor; bachelorship.
Bachelorism,n.,"Bachelorhood; also, a manner or peculiarity belonging to bachelors."
Bachelor's button,,"A plant with flowers shaped like buttons; especially, several species of Ranunculus, and the cornflower (Centaures cyanus) and globe amaranth (Gomphrena)."
Bachelorship,n.,The state of being a bachelor.
Bachelry,n.,The body of young aspirants for knighthood.
Bacillar,a.,Shaped like a rod or staff.
Bacillariae,n. pl.,See Diatom.
Bacillary,a.,Of or pertaining to little rods; rod-shaped.
Bacilliform,a.,Rod-shaped.
Bacilli,n. pl.,of Bacillus
Bacillus,n.,"A variety of bacterium; a microscopic, rod-shaped vegetable organism."
Back,n.,"A large shallow vat; a cistern, tub, or trough, used by brewers, distillers, dyers, picklers, gluemakers, and others, for mixing or cooling wort, holding water, hot glue, etc."
Back,n.,"A ferryboat.  See Bac, 1."
Back,n.,"In human beings, the hinder part of the body, extending from the neck to the end of the spine; in other animals, that part of the body which corresponds most nearly to such part of a human being; as, the back of a horse, fish, or lobster."
Back,n.,"An extended upper part, as of a mountain or ridge."
Back,n.,"The outward or upper part of a thing, as opposed to the inner or lower part; as, the back of the hand, the back of the foot, the back of a hand rail."
Back,n.,"The part opposed to the front; the hinder or rear part of a thing; as, the back of a book; the back of an army; the back of a chimney."
Back,n.,"The part opposite to, or most remote from, that which fronts the speaker or actor; or the part out of sight, or not generally seen; as, the back of an island, of a hill, or of a village."
Back,n.,"The part of a cutting tool on the opposite side from its edge; as, the back of a knife, or of a saw."
Back,n.,A support or resource in reserve.
Back,n.,The keel and keelson of a ship.
Back,n.,"The upper part of a lode, or the roof of a horizontal underground passage."
Back,n.,"A garment for the back; hence, clothing."
Back,a.,"Being at the back or in the rear; distant; remote; as, the back door; back settlements."
Back,a.,"Being in arrear; overdue; as, back rent."
Back,a.,"Moving or operating backward; as, back action."
Backed,imp. & p. p.,of Back
Backing,p. pr. & vb. n.,of Back
Back,v. i.,To get upon the back of; to mount.
Back,v. i.,To place or seat upon the back.
Back,v. i.,"To drive or force backward; to cause to retreat or recede; as, to back oxen."
Back,v. i.,"To make a back for; to furnish with a back; as, to back books."
Back,v. i.,To adjoin behind; to be at the back of.
Back,v. i.,"To write upon the back of; as, to back a letter; to indorse; as, to back a note or legal document."
Back,v. i.,"To support; to maintain; to second or strengthen by aid or influence; as, to back a friend."
Back,v. i.,"To bet on the success of; -- as, to back a race horse."
Back,v. i.,"To move or go backward; as, the horse refuses to back."
Back,v. i.,To change from one quarter to another by a course opposite to that of the sun; -- used of the wind.
Back,v. i.,To stand still behind another dog which has pointed; -- said of a dog.
Back,adv.,"In, to, or toward, the rear; as, to stand back; to step back."
Back,adv.,"To the place from which one came; to the place or person from which something is taken or derived; as, to go back for something left behind; to go back to one's native place; to put a book back after reading it."
Back,adv.,"To a former state, condition, or station; as, to go back to private life; to go back to barbarism."
Back,adv.,(Of time) In times past; ago.
Back,adv.,Away from contact; by reverse movement.
Back,adv.,"In concealment or reserve; in one's own possession; as, to keep back the truth; to keep back part of the money due to another."
Back,adv.,In a state of restraint or hindrance.
Back,adv.,"In return, repayment, or requital."
Back,adv.,"In withdrawal from a statement, promise, or undertaking; as, he took back0 the offensive words."
Back,adv.,"In arrear; as, to be back in one's rent."
Backarack,n.,See Bacharach.
Backare,interj.,Same as Baccare.
Backband,n.,The band which passes over the back of a horse and holds up the shafts of a carriage.
Caaba,n.,"The small and nearly cubical stone building, toward which all Mohammedans must pray."
Caas,n. sing. & pl.,Case.
Cab,n.,"A kind of close carriage with two or four wheels, usually a public vehicle."
Cab,n.,"The covered part of a locomotive, in which the engineer has his station."
Cab,n.,"A Hebrew dry measure, containing a little over two (2.37) pints."
Cabal,n.,Tradition; occult doctrine. See Cabala
Cabal,n.,A secret.
Cabal,n.,"A number of persons united in some close design, usually to promote their private views and interests in church or state by intrigue; a secret association composed of a few designing persons; a junto."
Cabal,n.,The secret artifices or machinations of a few persons united in a close design; intrigue.
Caballed,imp. & p. p.,of Cabal
Caballing,p. pr. & vb. n.,of Cabal
Cabal,v. i.,To unite in a small party to promote private views and interests by intrigue; to intrigue; to plot.
Cabala,n.,"A kind of occult theosophy or traditional interpretation of the Scriptures among Jewish rabbis and certain mediaeval Christians, which treats of the nature of god and the mystery of human existence. It assumes that every letter, word, number, and accent of Scripture contains a hidden sense; and it teaches the methods of interpretation for ascertaining these occult meanings. The cabalists pretend even to foretell events by this means."
Cabala,n.,Secret science in general; mystic art; mystery.
Cabalism,n.,The secret science of the cabalists.
Cabalism,n.,A superstitious devotion to the mysteries of the religion which one professes.
Cabalist,n.,"One versed in the cabala, or the mysteries of Jewish traditions."
Cabalistic,a.,Alt. of Cabalistical
Cabalistical,a.,Of or pertaining to the cabala; containing or conveying an occult meaning; mystic.
Cabalistically,adv.,In a cabalistic manner.
Cabalize,v. i.,To use cabalistic language.
Caballer,n.,One who cabals.
Caballine,a.,Of or pertaining to a horse.
Caballine,n.,Caballine aloes.
Cabaret,n.,A tavern; a house where liquors are retailed.
Cabaret,n.,"a type of restaurant where liquor and dinner is served, and entertainment is provided, as by musicians, dancers, or comedians, and providing space for dancing by the patrons; -- similar to a nightclub.  The term cabaret is often used in the names of such an establishment."
Cabaret,n.,the type of entertainment provided in a cabaret{2}.
Cabas,n.,"A flat basket or frail for figs, etc.; hence, a lady's flat workbasket, reticule, or hand bag; -- often written caba."
Cabassou,n.,A species of armadillo of the genus Xenurus (X. unicinctus and X. hispidus); the tatouay.
Cabbage,n.,"An esculent vegetable of many varieties, derived from the wild Brassica oleracea of Europe. The common cabbage has a compact head of leaves. The cauliflower, Brussels sprouts, etc., are sometimes classed as cabbages."
Cabbage,n.,"The terminal bud of certain palm trees, used, like, cabbage, for food. See Cabbage tree, below."
Cabbage,n.,The cabbage palmetto. See below.
Cabbage,v. i.,"To form a head like that the cabbage; as, to make lettuce cabbage."
Cabbaged,imp. & p. p,of Cabbage
Cabbaging,p. pr. & vb. n.,of Cabbage
Cabbage,v. i.,"To purloin or embezzle, as the pieces of cloth remaining after cutting out a garment; to pilfer."
Cabbage,n.,Cloth or clippings cabbaged or purloined by one who cuts out garments.
Cabbler,n.,One who works at cabbling.
Cabbling,n.,"The process of breaking up the flat masses into which wrought iron is first hammered, in order that the pieces may be reheated and wrought into bar iron."
Cabeca,n.,Alt. of Cabesse
Cabesse,n.,The finest kind of silk received from India.
Caber,n.,A pole or beam used in Scottish games for tossing as a trial of strength.
Cabezon,n.,"A California fish (Hemilepidotus spinosus), allied to the sculpin."
Cabiai,n.,The capybara. See Capybara.
Cabin,n.,A cottage or small house; a hut.
Cabin,n.,A small room; an inclosed place.
Cabin,n.,A room in ship for officers or passengers.
Cabined,imp. & p. p.,of Cabin
Cabining,p. pr. & vb. n.,of Cabin
Cabin,v. i.,"To live in, or as in, a cabin; to lodge."
Cabin,v. t.,"To confine in, or as in, a cabin."
Cabinet,n.,A hut; a cottage; a small house.
Cabinet,n.,"A small room, or retired apartment; a closet."
Cabinet,n.,A private room in which consultations are held.
Cabinet,n.,The advisory council of the chief executive officer of a nation; a cabinet council.
Cabinet,n.,A set of drawers or a cupboard intended to contain articles of value. Hence:
Cabinet,n.,"A decorative piece of furniture, whether open like an etagere or closed with doors. See Etagere."
Cabinet,n.,"Any building or room set apart for the safe keeping and exhibition of works of art, etc.; also, the collection itself."
Cabinet,a.,Suitable for a cabinet; small.
Cabineting,p. pr. & vb. n.,of Cabinet
Cabinet,v. i.,To inclose
Cabinetmaker,n.,"One whose occupation is to make cabinets or other choice articles of household furniture, as tables, bedsteads, bureaus, etc."
Cabinetmaking,n.,The art or occupation of making the finer articles of household furniture.
Cabinetwork,n.,"The art or occupation of working upon wooden furniture requiring nice workmanship; also, such furniture."
Cabirean,n.,One of the Cabiri.
Cabbiri,n. pl.,"Certain deities originally worshiped with mystical rites by the Pelasgians in Lemnos and Samothrace and afterwards throughout Greece; -- also called sons of Hephaestus (or Vulcan), as being masters of the art of working metals."
Cabirian,a.,Same as Cabiric.
Cabiric,a.,"Of or pertaining to the Cabiri, or to their mystical worship."
Cable,n.,"A large, strong rope or chain, of considerable length, used to retain a vessel at anchor, and for other purposes. It is made of hemp, of steel wire, or of iron links."
Cable,n.,"A rope of steel wire, or copper wire, usually covered with some protecting or insulating substance; as, the cable of a suspension bridge; a telegraphic cable."
Cable,n.,"A molding, shaft of a column, or any other member of convex, rounded section, made to resemble the spiral twist of a rope; -- called also cable molding."
Cable,v. t.,To fasten with a cable.
Cable,v. t.,To ornament with cabling.  See Cabling.
Cabled,imp. & p. p.,of Cable
Cabling,p. pr. & vb. n.,of Cable
Cable,v. t. & i.,To telegraph by a submarine cable
Cabled,a.,"Fastened with, or attached to, a cable or rope."
Cabled,a.,Adorned with cabling.
Cablegram,n.,A message sent by a submarine telegraphic cable.
Cablelaid,a.,"Composed of three three-stranded ropes, or hawsers, twisted together to form a cable."
Cablelaid,a.,"Twisted after the manner of a cable; as, a cable-laid gold chain."
Cablet,n.,A little cable less than ten inches in circumference.
Cabling,n.,"The decoration of a fluted shaft of a column or of a pilaster with reeds, or rounded moldings, which seem to be laid in the hollows of the fluting. These are limited in length to about one third of the height of the shaft."
Cabmen,n. pl.,of Cabman
Cabman,n.,The driver of a cab.
Cabob,n.,A small piece of mutton or other meat roasted on a skewer; -- so called in Turkey and Persia.
Cabob,n.,"A leg of mutton roasted, stuffed with white herrings and sweet herbs."
Cabob,v. t.,"To roast, as a cabob."
Caboched,a.,"Showing the full face, but nothing of the neck; -- said of the head of a beast in armorial bearing."
Caboodle,n.,The whole collection; the entire quantity or number; -- usually in the phrase the whole caboodle.
Caboose,n.,"A house on deck, where the cooking is done; -- commonly called the galley."
Caboose,n.,"A car used on freight or construction trains for brakemen, workmen, etc.; a tool car."
Cabotage,n.,Navigation along the coast; the details of coast pilotage.
Cabree,n.,The pronghorn antelope.
Cabrerite,n.,"An apple-green mineral, a hydrous arseniate of nickel, cobalt, and magnesia; -- so named from the Sierra Cabrera, Spain."
Cabrilla,n.,"A name applied to various species of edible fishes of the genus Serranus, and related genera, inhabiting the Meditarranean, the coast of California, etc.  In California, some of them are also called rock bass and kelp salmon."
Cabriole,n.,A curvet; a leap. See Capriole.
Cabriolet,n.,A one-horse carriage with two seats and a calash top.
Cabrit,n.,Same as Cabree.
Caburn,n.,"A small line made of spun yarn, to bind or worm cables, seize tackles, etc."
Decomposition,n.,"The act or process of resolving the constituent parts of a compound body or substance into its elementary parts; separation into constituent part; analysis; the decay or dissolution consequent on the removal or alteration of some of the ingredients of a compound; disintegration; as, the decomposition of wood, rocks, etc."
Decomposition,n.,The state of being reduced into original elements.
Decomposition,n.,Repeated composition; a combination of compounds.
Decompounded,imp. & p. p.,of Decompound
Decompounding,p. pr. & vb. n.,of Decompound
Decompound,v. t.,To compound or mix with that is already compound; to compound a second time.
Decompound,v. t.,To reduce to constituent parts; to decompose.
Decompound,a.,Compound of what is already compounded; compounded a second time.
Decompound,a.,"Several times compounded or divided, as a leaf or stem; decomposite."
Decompound,n.,A decomposite.
